,tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
7286,TRANSFERENCIA IMPORTADO,2023-05-29,2013-08-20,1216,QUILMES Nº 7,Buenos Aires,Importado,2010.0,76,CASA RODANTE S/MOTOR,K71,CARRIAGE,001,CARRI-LITE,1.0,Privado,Física,C.AUTONOMA DE BS.AS,BUENOS AIRES,Femenino,1991.0,ARGENTINA,100,6,ARG
9598,TRANSFERENCIA IMPORTADO,2023-05-05,2013-02-05,1216,QUILMES Nº 7,Buenos Aires,Importado,2013.0,30,FURGONETA,044,FIAT,758,FIORINO QUBO 1.4 8V ACTIVE,1.0,Privado,Física,MINISTRO RIVADAVIA,BUENOS AIRES,Femenino,1964.0,PARAGUAY,100,6,PRY
62312,TRANSFERENCIA IMPORTADO,2023-05-23,1999-12-13,1216,QUILMES Nº 7,Buenos Aires,Importado,1999.0,13,FURGON,136,VOLKSWAGEN,134,TRANSPORTER,1.0,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1946.0,ARGENTINA,50,6,ARG
62317,TRANSFERENCIA IMPORTADO,2023-05-24,1994-12-07,1216,QUILMES Nº 7,Buenos Aires,Importado,1994.0,13,FURGON,044,FIAT,085,DUCATO 10,1.0,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Masculino,1952.0,ARGENTINA,100,6,ARG
83927,TRANSFERENCIA IMPORTADO C/PEDIDO,2023-05-24,2011-10-12,1216,QUILMES Nº 7,Buenos Aires,Importado,2011.0,10,TODO TERRENO,136,VOLKSWAGEN,449,TIGUAN 2.0 TSI 4 MOTION,1.0,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1981.0,ARGENTINA,100,6,ARG
83930,TRANSFERENCIA IMPORTADO C/PEDIDO,2023-05-18,2012-03-30,1216,QUILMES Nº 7,Buenos Aires,Importado,2012.0,10,TODO TERRENO,047,FORD,879,KUGA TREND 2.5T MT 4X4,1.0,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1972.0,ARGENTINA,100,6,ARG
83947,TRANSFERENCIA IMPORTADO,2023-05-16,2016-05-31,1216,QUILMES Nº 7,Buenos Aires,Importado,2016.0,10,TODO TERRENO,024,CHEVROLET,631,CHEVROLET TRACKER AWD LTZ+,1.0,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Masculino,1969.0,ARGENTINA,100,6,ARG
83948,TRANSFERENCIA IMPORTADO,2023-05-08,1995-10-10,1216,QUILMES Nº 7,Buenos Aires,Importado,1995.0,10,TODO TERRENO,047,FORD,099,EXPLORER XLT,1.0,Privado,Física,EZPELETA,BUENOS AIRES,Masculino,1965.0,ARGENTINA,100,6,ARG
83949,TRANSFERENCIA IMPORTADO,2023-05-03,2010-01-22,1216,QUILMES Nº 7,Buenos Aires,Importado,2010.0,10,TODO TERRENO,058,HYUNDAI,210,TUCSON 2.0 4WD CRDI,1.0,Privado,Física,QUILMES,BUENOS AIRES,Femenino,1948.0,ARGENTINA,100,6,ARG
89045,TRANSFERENCIA IMPORTADO,2023-05-30,2000-03-30,1216,QUILMES Nº 7,Buenos Aires,Importado,2000.0,05,SEDAN 5 PTAS,032,DAIHATSU,061,MIRA,1.0,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1979.0,ARGENTINA,100,6,ARG
